Estación:       TODOS SANTOS,  BCS
Operada por:    SMN EMAS
Longitud:       110°12'56"  Latitud: 23°26'47"  Altitud: 60

DD/MM/AAAA HH:MM      DIRS      DIRR      VELS      VELR      TEMP        HR        PB      PREC   RADSOL
25/01/2018 22:00       271       259     10.59     17.40      24.8        41    1007.3       0.0     555.5
25/01/2018 23:00       269       280     10.48     17.60      23.9        44    1007.5       0.0     324.5
26/01/2018 00:00       277       269      7.12     15.90      23.2        50    1007.9       0.0      96.5
26/01/2018 01:00       263       272      3.87      8.10      21.5        59    1008.5       0.0       1.5
26/01/2018 02:00       132       140      1.91      4.90      20.4        61    1009.4       0.0       0.0
26/01/2018 03:00        93        90      9.91     16.20      20.0        63    1010.1       0.0       0.0
26/01/2018 04:00        92        97     10.72     17.70      19.3        65    1010.1       0.0       0.0
26/01/2018 05:00        91        78      9.67     17.60      19.3        61    1010.3       0.0       0.0
26/01/2018 06:00       101        90      8.44     12.00      19.2        62    1010.2       0.0       0.0
26/01/2018 07:00       305       107      0.73      7.90      16.8        67    1010.0       0.0       0.0
26/01/2018 08:00        61        65      7.16     16.80      16.8        68    1010.0       0.0       0.0
26/01/2018 09:00        24        63      2.33     16.20      17.2        61    1009.5       0.0       0.0
26/01/2018 10:00        81       150      1.19      7.30      15.3        67    1009.1       0.0       0.0
26/01/2018 11:00        55       147      1.06     10.60      14.5        64    1008.9       0.0       0.0
26/01/2018 12:00       110       139      1.53      7.30      15.1        64    1009.0       0.0       0.0
26/01/2018 13:00        17       133      1.12      6.80      14.5        64    1009.4       0.0       0.0
26/01/2018 14:00         5        65      1.15      5.40      14.7        60    1010.1       0.0      29.8
26/01/2018 15:00       188       214      1.95      5.80      18.0        40    1010.4       0.0     256.0
26/01/2018 16:00       281       330      6.31     12.60      23.0        26    1010.9       0.0     450.8
26/01/2018 17:00       276       270      8.52     15.10      24.7        29    1010.9       0.0     636.7
26/01/2018 18:00       273       272     10.29     17.50      25.5        32    1010.2       0.0     784.3
26/01/2018 19:00       271       272     11.43     19.80      25.9        38    1009.4       0.0     853.7
26/01/2018 20:00       292       311     13.61     25.00      26.4        38    1008.4       0.0     824.7
26/01/2018 21:00       304       310     16.92     28.80      27.0        31    1007.4       0.0     729.7
26/01/2018 22:00       304       297     17.71     30.50      26.1        34    1006.8       0.0     561.8
26/01/2018 23:00       305       315     17.00     33.30      26.0        33    1006.6       0.0     331.7
27/01/2018 00:00       309       303     10.46     31.70      25.1        42    1006.5       0.0     100.3
27/01/2018 01:00        21        17      8.32     19.80      25.2        24    1006.7       0.0       1.3
27/01/2018 02:00        67        44      9.67     15.40      24.5        13    1007.3       0.0       0.0
27/01/2018 03:00        49        48      3.91     14.20      21.9        15    1007.8       0.0       0.0
27/01/2018 04:00        57        41      2.05     13.90      21.2        18    1008.2       0.0       0.0
27/01/2018 05:00        85       133      0.77      6.70      19.5        24    1008.4       0.0       0.0
27/01/2018 06:00        58        64      1.87      6.70      18.3        40    1008.3       0.0       0.0
27/01/2018 07:00       295        55      1.22      6.20      16.9        40    1008.1       0.0       0.0
27/01/2018 08:00        35       313      0.39      4.10      16.2        47    1008.0       0.0       0.0
27/01/2018 09:00        89       136      6.76     20.70      16.6        42    1007.7       0.0       0.0
27/01/2018 10:00        26        12      4.63     19.30      17.9        24    1007.2       0.0       0.0
27/01/2018 11:00        19        11     18.50     31.50      18.9        13    1006.7       0.0       0.0
27/01/2018 12:00        17        13     18.14     30.10      19.3        11    1006.5       0.0       0.0
27/01/2018 13:00        22        23     17.74     31.30      20.0        10    1006.8       0.0       0.0
27/01/2018 14:00        23        14     20.53     34.00      20.0        10    1007.2       0.0      29.2
27/01/2018 15:00        32        33     13.28     28.50      20.5        10    1007.8       0.0     280.2
27/01/2018 16:00       142        35      2.12     16.80      24.2         9    1008.4       0.0     367.7
27/01/2018 17:00       209       198      4.48     11.80      26.0        13    1008.6       0.0     437.5
27/01/2018 18:00       239       247      6.13     13.70      27.4        13    1008.0       0.0     718.0
27/01/2018 19:00       237       235     10.19     16.10      28.0        10    1007.1       0.0     725.7
27/01/2018 20:00       213       232     11.98     21.30      28.4        12    1006.1       0.0     820.5
27/01/2018 21:00       175       179     10.89     22.10      27.9        27    1005.5       0.0     709.3
27/01/2018 22:00       246       257      4.09     22.50      28.4        29    1005.0       0.0     564.7
27/01/2018 23:00       340       341     19.69     34.10      28.4        18    1004.8       0.0     369.3
28/01/2018 00:00         8       338     20.33     34.70      26.9        20    1004.7       0.0     125.8
28/01/2018 01:00         4        26     16.82     34.30      24.5        26    1004.9       0.0       2.8
28/01/2018 02:00       356        23      8.89     27.20      22.6        27    1005.2       0.0       0.0
28/01/2018 03:00        35         8      1.07     14.20      20.3        28    1005.6       0.0       0.0
28/01/2018 04:00       108        58      3.11     12.40      19.2        28    1006.0       0.0       0.0
28/01/2018 05:00        91        92     10.91     19.80      19.6        38    1006.2       0.0       0.0
28/01/2018 06:00        84        90     11.90     21.30      19.6        44    1006.5       0.0       0.0
28/01/2018 07:00        71        77     13.86     19.80      19.2        49    1006.5       0.0       0.0
28/01/2018 08:00        63        75      9.20     16.20      19.0        54    1006.5       0.0       0.0
28/01/2018 09:00        73        55      0.97     12.20      17.7        60    1006.3       0.0       0.0
28/01/2018 10:00        47        53      3.05     12.00      17.7        56    1005.8       0.0       0.0
28/01/2018 11:00        59        64      4.49     15.10      16.9        53    1005.6       0.0       0.0
28/01/2018 12:00        34        55      4.14     18.60      16.6        55    1005.6       0.0       0.0
28/01/2018 13:00        30        50      1.50     16.50      15.5        62    1006.1       0.0       0.0
28/01/2018 14:00       267       278      1.89      7.60      14.0        68    1006.6       0.0      31.3
28/01/2018 15:00       291       309      0.74      4.90      17.3        57    1007.1       0.0     183.7
28/01/2018 16:00       240       215      3.33      9.10      22.4        44    1007.4       0.0     380.2
28/01/2018 17:00       248       257      4.81     13.40      24.5        34    1007.4       0.0     709.0
28/01/2018 18:00       252       270      7.81     13.90      24.2        36    1006.9       0.0     723.2
28/01/2018 19:00       242       248      9.77     19.10      25.7        27    1005.8       0.0     712.7
28/01/2018 20:00       220       228     13.90     23.30      25.9        23    1004.6       0.0     813.0
28/01/2018 21:00       217       225     12.87     23.40      26.2        20    1003.9       0.0     714.3
28/01/2018 22:00       210       211     10.74     18.80      26.7        22    1003.7       0.0     569.7
28/01/2018 23:00       163       208     11.56     20.90      25.7        31    1003.7       0.0     358.7
29/01/2018 00:00       155       160     11.85     22.90      24.4        51    1003.9       0.0     116.8
29/01/2018 01:00       140       133     12.52     22.80      22.3        62    1004.4       0.0       2.5
29/01/2018 02:00       119       119     14.32     20.90      21.4        64    1004.9       0.0       0.0
29/01/2018 03:00       102       113      4.11     18.80      20.7        64    1005.3       0.0       0.0
29/01/2018 04:00       110        86      0.62      9.20      19.2        68    1005.8       0.0       0.0
29/01/2018 05:00       230        31      0.66      6.70      17.8        68    1006.1       0.0       0.0
29/01/2018 06:00       223        48      1.03      9.10      17.4        60    1006.1       0.0       0.0
29/01/2018 07:00       352        55      1.90     11.60      17.4        61    1006.1       0.0       0.0
29/01/2018 08:00       348         5      2.04      6.50      16.9        65    1006.3       0.0       0.0
29/01/2018 09:00        25        30      4.28     10.50      17.8        61    1006.3       0.0       0.0
29/01/2018 10:00        32        25      4.65     13.40      18.9        54    1006.0       0.0       0.0
29/01/2018 11:00       166       125      1.03      4.60      17.5        54    1005.7       0.0       0.0
29/01/2018 12:00       132       160      0.34      5.90      16.0        57    1005.8       0.0       0.0
29/01/2018 13:00       128       131      1.28      6.50      15.6        56    1006.3       0.0       0.0
29/01/2018 14:00       116       122      5.78     15.20      15.5        50    1006.6       0.0      32.0
29/01/2018 15:00       127       113     13.84     22.10      20.2        42    1007.6       0.0     186.5
29/01/2018 16:00       137       133      9.72     19.10      22.8        44    1008.2       0.0     369.0
29/01/2018 17:00       233       228      5.14     13.80      25.1        37    1008.5       0.0     681.3
29/01/2018 18:00       255       270      9.29     17.70      25.0        40    1008.0       0.0     702.7
29/01/2018 19:00       257       249      9.81     16.80      24.8        44    1007.1       0.0     696.2
