00Z 01 01 2017, 0.34, 21.08
00Z 02 01 2017, 0.00, 13.03
12Z 02 01 2017, 0.00, 13.19
00Z 03 01 2017, 0.00, 12.63
12Z 03 01 2017, 0.00, 15.61
00Z 04 01 2017, 0.00, 17.10
12Z 04 01 2017, 0.00, 19.36
00Z 05 01 2017, 0.08, 29.36
12Z 05 01 2017, 240.18, 34.83
00Z 06 01 2017, 52.44, 33.44
12Z 06 01 2017, 0.00, 24.70
00Z 07 01 2017, 0.00, 26.00
12Z 07 01 2017, 6.89, 45.50
00Z 08 01 2017, 0.00, 37.59
12Z 08 01 2017, 0.00, 40.69
00Z 09 01 2017, 0.00, 45.87
12Z 09 01 2017, 0.00, 31.41
00Z 10 01 2017, 0.00, 21.58
12Z 10 01 2017, 0.00, 15.31
00Z 11 01 2017, 0.00, 19.08
12Z 11 01 2017, 0.00, 19.83
00Z 12 01 2017, 0.00, 19.46
12Z 12 01 2017, 0.00, 50.69
00Z 13 01 2017, 6.48, 55.99
12Z 13 01 2017, 0.00, 16.09
00Z 14 01 2017, 2.25, 14.52
12Z 14 01 2017, 0.00, 14.24
00Z 15 01 2017, 0.00, 13.07
12Z 15 01 2017, 0.00, 13.16
00Z 16 01 2017, 0.00, 10.22
12Z 16 01 2017, 0.00, 12.47
00Z 17 01 2017, 0.00, 12.64
12Z 17 01 2017, 0.00, 18.15
00Z 18 01 2017, 0.00, 35.17
12Z 18 01 2017, 0.00, 35.07
00Z 19 01 2017, 0.00, 40.11
12Z 19 01 2017, 233.08, 62.33
00Z 20 01 2017, 5.17, 18.76
12Z 20 01 2017, 0.00, 12.52
00Z 21 01 2017, 0.00, 12.16
12Z 21 01 2017, 0.00, 15.07
00Z 22 01 2017, 0.00, 14.56
12Z 22 01 2017, 0.00, 45.43
00Z 23 01 2017, 0.00, 40.77
12Z 23 01 2017, 14.27, 45.45
00Z 24 01 2017, 3.97, 14.43
12Z 24 01 2017, 0.00, 11.77
00Z 25 01 2017, 0.00, 13.72
12Z 25 01 2017, 0.00, 11.88
00Z 26 01 2017, 0.00, 16.17
12Z 26 01 2017, 0.00, 16.32
00Z 27 01 2017, 0.00, 15.69
12Z 27 01 2017, 0.00, 12.97
00Z 28 01 2017, 0.00, 10.39
12Z 28 01 2017, 0.00, 18.29
00Z 29 01 2017, 0.00, 17.55
00Z 30 01 2017, 0.00, 47.13
12Z 30 01 2017, 0.00, 38.94
00Z 31 01 2017, 10.65, 18.46
12Z 31 01 2017, 0.00, 21.18
00Z 01 02 2017, 0.00, 38.52
12Z 01 02 2017, 0.00, 15.31
00Z 02 02 2017, 0.28, 15.47
12Z 02 02 2017, 0.00, 17.56
00Z 03 02 2017, 0.00, 11.57
12Z 03 02 2017, 0.00, 11.88
00Z 04 02 2017, 0.00, 27.86
12Z 04 02 2017, 0.00, 45.99
00Z 05 02 2017, 58.82, 50.72
12Z 05 02 2017, 0.00, 58.00
00Z 06 02 2017, 0.00, 40.28
12Z 06 02 2017, 0.00, 19.44
00Z 07 02 2017, 0.00, 23.19
12Z 07 02 2017, 0.00, 28.01
00Z 08 02 2017, 0.00, 35.37
12Z 08 02 2017, 0.42, 34.88
00Z 09 02 2017, 0.00, 33.58
