01 01 2017, 0.34, 21.08
02 01 2017, 0.00, 13.03
03 01 2017, 0.00, 12.63
04 01 2017, 0.00, 17.10
05 01 2017, 0.08, 29.36
06 01 2017, 52.44, 33.44
07 01 2017, 0.00, 26.00
08 01 2017, 0.00, 37.59
09 01 2017, 0.00, 45.87
10 01 2017, 0.00, 21.58
11 01 2017, 0.00, 19.08
12 01 2017, 0.00, 19.46
13 01 2017, 6.48, 55.99
14 01 2017, 2.25, 14.52
15 01 2017, 0.00, 13.07
16 01 2017, 0.00, 10.22
17 01 2017, 0.00, 12.64
18 01 2017, 0.00, 35.17
19 01 2017, 0.00, 40.11
20 01 2017, 5.17, 18.76
21 01 2017, 0.00, 12.16
22 01 2017, 0.00, 14.56
23 01 2017, 0.00, 40.77
24 01 2017, 3.97, 14.43
25 01 2017, 0.00, 13.72
26 01 2017, 0.00, 16.17
27 01 2017, 0.00, 15.69
28 01 2017, 0.00, 10.39
29 01 2017, 0.00, 17.55
30 01 2017, 0.00, 47.13
31 01 2017, 10.65, 18.46
01 02 2017, 0.00, 38.52
02 02 2017, 0.28, 15.47
03 02 2017, 0.00, 11.57
04 02 2017, 0.00, 27.86
05 02 2017, 58.82, 50.72
06 02 2017, 0.00, 40.28
07 02 2017, 0.00, 23.19
08 02 2017, 0.00, 35.37
09 02 2017, 0.00, 33.58
10 02 2017, 19.38, 36.11
11 02 2017, 130.75, 44.60
12 02 2017, 0.00, 18.09
13 02 2017, 0.00, 17.94
14 02 2017, 0.00, 14.64
15 02 2017, 0.00, 21.00
16 02 2017, 24.40, 20.50
17 02 2017, 1.54, 17.08
18 02 2017, 39.21, 16.52
19 02 2017, 32.40, 20.47
20 02 2017, 0.00, 17.73
21 02 2017, 0.00, 17.30
22 02 2017, 0.00, 17.01
23 02 2017, 5.79, 15.01
24 02 2017, 0.00, 13.22
25 02 2017, 0.00, 14.41
26 02 2017, 0.00, 10.54
27 02 2017, 0.00, 17.58
28 02 2017, 0.00, 25.33
01 03 2017, 0.00, 21.72
02 03 2017, 0.00, 23.65
03 03 2017, 0.00, 21.78
04 03 2017, 0.00, 14.66
05 03 2017, 0.00, 17.11
06 03 2017, 0.00, 26.25
07 03 2017, 0.00, 24.99
08 03 2017, 0.00, 20.46
09 03 2017, 0.00, 16.48
10 03 2017, 0.00, 12.32
11 03 2017, 0.00, 25.35
12 03 2017, 432.36, 27.71
13 03 2017, 8.72, 22.55
14 03 2017, 0.00, 24.55
15 03 2017, 0.00, 24.18
16 03 2017, 1.14, 13.71
17 03 2017, 0.00, 8.32
18 03 2017, 0.00, 6.17
19 03 2017, 0.00, 13.58
20 03 2017, 0.00, 30.98
21 03 2017, 198.83, 35.21
22 03 2017, 0.00, 24.78
23 03 2017, 0.00, 21.15
24 03 2017, 0.00, 20.89
25 03 2017, 0.00, 41.29
26 03 2017, 0.00, 42.42
27 03 2017, 1.47, 31.69
28 03 2017, 8.46, 16.12
29 03 2017, 17.66, 21.45
30 03 2017, 0.00, 12.22
31 03 2017, 0.00, 14.66
01 04 2017, 0.00, 16.65
02 04 2017, 0.00, 13.29
03 04 2017, 0.00, 9.37
04 04 2017, 0.00, 14.23
05 04 2017, 0.00, 14.71
06 04 2017, 0.00, 12.64
07 04 2017, 0.00, 12.94
08 04 2017, 0.00, 19.84
09 04 2017, 0.00, 9.47
10 04 2017, 0.00, 12.51
11 04 2017, 0.00, 16.84
12 04 2017, 0.00, 16.31
13 04 2017, 0.00, 13.51
14 04 2017, 0.00, 11.81
15 04 2017, 0.00, 13.49
16 04 2017, 0.00, 22.43
17 04 2017, 0.00, 19.46
18 04 2017, 0.00, 16.09
19 04 2017, 0.00, 25.23
20 04 2017, 35.02, 42.92
21 04 2017, 13.12, 21.54
